hidden_layer_sizes,activation,learning_rate_init,alpha,max_iter,fitness
"(8,)",tanh,0.0040516277247849295,0.016328481359694398,1000,0.8677882027402225
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.05042747464986635,0.24760939586566913,1500,0.8780216570896741
"(8,)",tanh,0.02296865017347132,0.04495542283361884,1500,0.8787933057913305
"(8,)",tanh,0.047795009846303346,0.05240659205179136,1500,0.8824886138509687
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.023650830625249905,0.21804198174833056,1500,0.8828859845561168
"(8,)",tanh,0.03291371225695844,0.2863633387664239,1000,0.8905999262271491
"(8,)",tanh,0.1,0.05408420174068621,1500,0.8746181617206845
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.011462588102971415,0.07684453548544988,1000,0.879090172433336
"(8,)",tanh,0.1,0.16012361302816616,1000,0.8778218153096988
"(8,)",tanh,0.038819873221724685,0.14471671986750959,1500,0.8901063377444516
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.0032191411736566455,0.14572768694613308,1500,0.8717898902225608
"(8,)",tanh,0.008697514264100925,0.10988082369962943,1500,0.8794714989758321
"(8,)",tanh,0.03262230020720096,0.4467576302554649,1500,0.8861530397702134
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.015997943008663217,0.17345943270306877,1500,0.8821979361192508
"(8,)",tanh,0.012638197133491765,0.8902827497994283,1500,0.8851361657317336
"(8,)",tanh,0.006146256947956777,0.5624783369267797,1000,0.8715017522975501
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.0035261035253147735,0.06478651056770916,1500,0.8683507924759827
"(8,)",logistic,0.0036903980189527796,0.053238656525129754,1500,0.7924448836053063
"(8,)",tanh,0.0879156845416647,0.13956851797117203,1000,0.885575887009422
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.05102723068948592,0.11675077676675681,1000,0.8761136630133459
"(8,)",logistic,0.1,0.09340670736349962,1000,0.8778889972736421
"(8,)",tanh,0.004805758196112785,0.08356784245988119,1500,0.8748757488499003
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",logistic,0.02828543257257129,0.06176800079839143,1500,0.8854855152817709
"(8,)",tanh,0.04616992539399153,0.04261830672988225,1000,0.8827008306289066
"(8,)",logistic,0.07931148556141093,0.2717189235778828,1000,0.8743634194412906
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.034322241434369107,0.02276018407235151,1000,0.879260175980568
"(8,)",logistic,0.03560906354374697,0.11611697466626696,1500,0.8727313125014012
"(8,)",tanh,0.03593746304369371,0.028597755112298253,1000,0.8795177030374877
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.023715653649655947,0.017666545678851075,1000,0.8754220049297995
"(8,)",tanh,0.019497550656652256,0.04403109164740752,1000,0.876650335432028
"(8,)",logistic,0.04211680082852355,0.045872497945927605,1000,0.8713651518926453
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.04168670892891008,0.039190230265262735,1000,0.889049966596193
"(8,)",tanh,0.02097500010935955,0.03318919616632362,1000,0.8773691516492208
"(8,)",tanh,0.025768497868729857,0.03714357896709542,1500,0.8711445833673046
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.020815939894261504,0.03792468746175579,1000,0.8767610095108033
"(8,)",tanh,0.04429437652748088,0.05019073271486457,1000,0.8881535505099697
"(8,)",tanh,0.03916960208166052,0.05457148298918757,1500,0.8870255140489695
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.02565982216793204,0.046567756002351995,1500,0.8702313181526332
"(8,)",tanh,0.04934864514322627,0.04250653040716953,1500,0.8820484248642192
"(8,)",tanh,0.03518801150319938,0.06151561853053963,1500,0.8805578304250303
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.04114489741274347,0.05890946209362263,1500,0.8929440757721165
"(8,)",tanh,0.049932098902078496,0.04815445869047298,1500,0.8886031207466389
"(8,)",tanh,0.022765823345697725,0.06957257356474165,1500,0.8797543929743116
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.041759500808911346,0.05942447953115828,1500,0.8854355612929835
"(8,)",tanh,0.04633957346785596,0.05120672231614134,1500,0.8839646401697998
"(8,)",tanh,0.05407757465266793,0.054682207510923855,1500,0.8811540465814653
"(8,)",tanh,0.03948586148501125,0.07357646681899987,1500,0.8950404622804055
"(8,)",tanh,0.03773503607076333,0.06676807517390125,1500,0.8829784218299421
"(8,)",tanh,0.04295017193797115,0.05912170974818063,1500,0.8902507259216975
"(8,)",tanh,0.03618004453130188,0.07392307778117183,1500,0.8851786672509929
"(8,)",tanh,0.04295017193797115,0.05912170974818063,1500,0.8902507259216975
"(8,)",tanh,0.03773503607076333,0.06676807517390125,1500,0.8829784218299421
"(32, 16)",tanh,0.03948586148501125,0.07299944300663538,1500,0.8803563552844016
